1,COCO LUMBER (1 * 2  * 8),26.4
2,COCO LUMBER (1 * 2  * 10),33.44
3,COCO LUMBER (1 * 2  * 12),40.48
4,COCO LUMBER (2 * 2  * 8),53.68
5,COCO LUMBER (2 * 2  * 10),66.88
6,COCO LUMBER (2 * 2  * 12),80.96
7,COCO LUMBER (2 * 3  * 8),80.96
8,COCO LUMBER (2 * 3  * 10),101.2
9,COCO LUMBER (2 * 3 * 12),121.44
10,COCO LUMBER (2 * 4  * 8),107.36
11,COCO LUMBER (2 * 4  * 10),134.64
12,COCO LUMBER (2 * 4  * 12),161.92
13,COCO LUMBER (4 * 4  * 8),215.6
14,COCO LUMBER (4 * 4  * 10),269.28
15,COCO LUMBER (4 * 4  * 12),323.84
16,SAND (1 SACK),38.72
17,GRAVEL (1 SACK) ,45.76
18,HOLLOW BLOCK,11.44
19,CEMENT (1 SACK),159.28
20,"COMMON NAILS ( 1"" )",66
21,"COMMON NAILS ( 1 1/2"" ) ",61.6
22,"COMMON NAILS ( 2"" )",57.2
23,"COMMON NAILS ( 2 1/2"" )",57.2
24,"COMMON NAILS ( 3"" )",54.56
25,"COMMON NAILS ( 4"" )",52.8
26,"PAINT BRUSH ( 1 "")",24.64
27,"PAINT BRUSH ( 1 1/2"")",26.4
28,"PAINT BRUSH ( 2 "")",30.8
29,"PAINT BRUSH ( 2 1/2 "")",35.2
30,METER TAPE,52.8
31,SAHARA,44
32,SOLVENT,83.6
33,HAMMER,114.4
34,SAW,127.6
35,LENOX METAL SAW,30.8
36,SCREW DRIVER,66
37,VULCA SEAL,66
38,STIKWEL WOOD GLUE,66
